process,energy,pat_sign,pat_len,geom_sign,geom_len
23,39.426315,19.285597,0.606378,4.955580,0.698581
42,38.011654,7.674109,0.099241,33.931301,0.254127
23,55.959421,23.526218,1.313524,263.468750,1.125574
42,33.543981,13.003978,0.347152,13.275794,0.558987
32,45.617776,3.852050,0.109529,4.923720,0.333293
32,58.298442,6.661331,0.235947,6.647064,0.490235
24,39.047881,65.153252,4.212216,33.591740,2.012359
23,150.168024,9.988504,2.838576,4.117979,1.636447
32,36.051189,10.684205,0.359872,12.345061,0.613749
32,91.789730,39.467457,3.136408,27.739178,1.783052
32,89.540669,9.677630,1.384137,5.390640,1.107048
23,70.608018,10.263214,0.997178,4.745216,0.937588
32,104.980648,7.237545,0.655535,2.486624,0.845313
32,67.771870,14.649545,0.982585,5.970471,0.922027
32,38.198033,33.660660,3.245381,23.835625,1.769949
32,83.392379,3.855935,0.115276,6.302330,0.338346
24,37.583824,7.847394,0.137856,5.004555,0.375523
42,39.623024,4.318743,0.119068,2.106726,0.263046
23,41.846904,9.807189,0.333435,3.418342,0.602169
32,116.802672,14.735740,1.522534,2.250702,1.488149
23,31.264634,6.148084,0.074330,2.077826,0.339025
42,34.278083,8.960355,0.075521,4.383373,0.360235
42,103.592010,5.449845,0.336716,2.499716,0.600273
24,50.243477,28.079454,2.524086,10.445768,1.770759
32,104.777794,3.091756,0.136644,2.862037,0.366187
42,106.671928,11.619844,2.027633,3.398976,1.321240
24,49.671987,101.047089,8.136269,49.200237,2.831113
32,49.708702,44.555256,3.459116,13.899735,1.854624
32,123.364261,15.712907,7.552722,2.117274,2.280591
32,126.548821,25.250032,3.309403,3.242149,1.349726
42,91.802059,5.843265,0.122981,4.213619,0.311360
32,41.755350,18.479179,1.409998,13.827490,1.256997
24,62.364634,13.021053,0.536670,12.873229,0.723328
23,37.465363,51.788029,2.306590,171.150406,1.496352
23,46.856017,21.408796,0.672889,14.557645,0.813715
32,59.738674,17.677395,1.144824,6.407705,1.051104
42,100.286544,6.043699,0.130497,4.908421,0.344610
32,110.456173,25.609932,2.884694,9.399729,1.593711
24,240.950081,17.459002,16.830662,36.421215,3.971590
21,37.215747,2.003840,0.016013,2.041927,0.144794
24,33.282431,38.057587,2.318040,4.041473,1.600549
32,184.183759,16.744516,6.312504,3.151287,2.669758
32,45.331883,4.894311,0.085024,7.338409,0.281491
24,86.475922,2.513566,0.146738,7.335951,0.369657
32,107.060992,16.674198,2.209615,3.093934,1.436929
32,68.321689,11.909270,2.362641,6.896877,1.676482
23,48.317683,2.587018,0.011200,6.204992,0.111604
21,104.809089,2.084692,0.056672,7.687657,0.293278
42,60.884020,7.588961,0.135315,8.463346,0.373375
32,119.829797,5.359953,0.428530,3.404905,0.736271
42,207.701910,19.528151,5.189077,3.330476,2.063940
42,183.784850,2.489835,0.182797,2.227073,0.469848
24,33.013659,6.544752,0.104153,20.331121,0.323570
32,150.547979,6.834146,1.669498,3.631156,1.016394
32,78.648072,10.256818,0.334640,3.472602,0.644183
32,37.897544,8.729334,0.218378,2.614482,0.496829
42,42.954628,11.762598,0.388356,13.169107,0.509569
23,38.006781,15.258891,1.168053,11.515609,1.066980
32,43.359984,4.902842,0.066278,2.681927,0.258161
32,112.048925,22.590364,6.562028,19.800295,2.638301
42,134.983670,2.200721,0.335074,6.278193,0.521737
32,83.776406,25.283417,0.623004,2.298568,0.841896
23,66.943782,61.936584,6.280865,13.554358,2.611517
24,113.227202,10.601305,0.704885,2.094765,0.801980
24,84.057058,59.956654,18.885738,163.546509,4.005718
32,134.404413,13.558264,2.680026,5.779302,1.732688
23,46.225566,18.784082,0.628844,84.380363,0.778637
32,91.217153,4.321841,0.200488,5.091231,0.512652
32,111.293155,6.050201,0.151173,3.767418,0.423201
24,108.985229,16.804951,2.905865,5.426307,1.660092
42,90.282500,6.001286,0.171095,6.470580,0.424011
23,107.618488,4.381814,0.774282,7.511716,0.904793
32,63.949766,14.839210,0.868182,14.089727,0.874283
32,218.344716,7.902250,1.628037,3.442251,1.042844
42,93.082890,7.639618,0.781352,2.541145,0.830112
42,60.820154,5.596188,0.056353,4.263178,0.245918
32,105.433841,17.221699,1.235025,18.700283,1.103256
23,199.974304,1.658947,0.108495,4.516505,0.290267
24,190.146053,7.895999,2.540965,2.018632,2.241865
24,144.450763,9.823407,4.158020,4.374309,2.197371
23,107.289610,18.644297,2.455211,2.170509,1.333860
32,81.543181,10.446835,0.897321,38.197002,0.962984
23,54.801428,11.965763,0.748034,3.932306,0.760646
32,44.803090,63.777180,6.204478,10.594993,2.204951
42,35.367928,6.890218,0.073740,4.471585,0.277318
32,82.950601,3.891490,0.092223,4.280024,0.286447
42,105.706620,28.679567,3.204327,10.317122,1.685070
42,46.437686,15.702588,0.525184,2.855484,0.640933
32,103.111417,20.196980,1.693318,11.052016,1.320848
