dtag,nbin,pileup
MC2016_Summer16_QCD_HT-100-200_,72,0
MC2016_Summer16_QCD_HT-100-200_,73,0
MC2016_Summer16_QCD_HT-100-200_,74,0
MC2016_Summer16_QCD_HT-100-200_,75,0
MC2016_Summer16_QCD_HT-100-200_,76,0
MC2016_Summer16_QCD_HT-100-200_,77,0
MC2016_Summer16_QCD_HT-100-200_,78,0
MC2016_Summer16_QCD_HT-100-200_,79,0
MC2016_Summer16_QCD_HT-100-200_,80,0
MC2016_Summer16_QCD_HT-100-200_,81,0
MC2016_Summer16_QCD_HT-100-200_,82,0
MC2016_Summer16_QCD_HT-100-200_,83,0
MC2016_Summer16_QCD_HT-100-200_,84,0
MC2016_Summer16_QCD_HT-100-200_,85,0
MC2016_Summer16_QCD_HT-100-200_,86,0
MC2016_Summer16_QCD_HT-100-200_,87,0
MC2016_Summer16_QCD_HT-100-200_,88,0
MC2016_Summer16_QCD_HT-100-200_,89,0
MC2016_Summer16_QCD_HT-100-200_,90,0
MC2016_Summer16_QCD_HT-100-200_,91,0
MC2016_Summer16_QCD_HT-100-200_,92,0
MC2016_Summer16_QCD_HT-100-200_,93,0
MC2016_Summer16_QCD_HT-100-200_,94,0
MC2016_Summer16_QCD_HT-100-200_,95,0
MC2016_Summer16_QCD_HT-100-200_,96,0
MC2016_Summer16_QCD_HT-100-200_,97,0
MC2016_Summer16_QCD_HT-100-200_,98,0
MC2016_Summer16_QCD_HT-100-200_,99,0
MC2016_Summer16_QCD_HT-100-200_,100,0
MC2016_Summer16_QCD_HT-100-200_,101,0
MC2016_Summer16_QCD_HT-100-200_,102,0
MC2016_Summer16_QCD_HT-1000-1500_,0,0
MC2016_Summer16_QCD_HT-1000-1500_,1,0.0159084
MC2016_Summer16_QCD_HT-1000-1500_,2,1.39725
MC2016_Summer16_QCD_HT-1000-1500_,3,3.27118
MC2016_Summer16_QCD_HT-1000-1500_,4,9.30035
MC2016_Summer16_QCD_HT-1000-1500_,5,19.7296
MC2016_Summer16_QCD_HT-1000-1500_,6,20.3036
MC2016_Summer16_QCD_HT-1000-1500_,7,38.4666
MC2016_Summer16_QCD_HT-1000-1500_,8,232.482
