dtag,nbin,pileup
MC2016_Summer16_QCD_HT-1500-2000_,12,36469
MC2016_Summer16_QCD_HT-1500-2000_,13,58453
MC2016_Summer16_QCD_HT-1500-2000_,14,81378
MC2016_Summer16_QCD_HT-1500-2000_,15,105881
MC2016_Summer16_QCD_HT-1500-2000_,16,134260
MC2016_Summer16_QCD_HT-1500-2000_,17,159493
MC2016_Summer16_QCD_HT-1500-2000_,18,178818
MC2016_Summer16_QCD_HT-1500-2000_,19,195403
MC2016_Summer16_QCD_HT-1500-2000_,20,208707
MC2016_Summer16_QCD_HT-1500-2000_,21,216531
MC2016_Summer16_QCD_HT-1500-2000_,22,221910
MC2016_Summer16_QCD_HT-1500-2000_,23,220155
MC2016_Summer16_QCD_HT-1500-2000_,24,213832
MC2016_Summer16_QCD_HT-1500-2000_,25,204748
