i_bin,x,y,z, hj_w_jets_bin,hj_w_tau_jets_bin, hj_q_jets_bin,hj_q_tau_jets_bin, hjm_w_jets_bin,hjm_w_tau_jets_bin, hjm_q_jets_bin,hjm_q_tau_jets_bin
557, 41.5,0.975,0.0965, 1,0,0,0, 0,0,0,0
569, 41.5,2.25,0.0965, 0,0,0,0, 0,0,0,0
522, 44,-2.25,0.0965, 0,0,0,0, 0,0,0,0
534, 44,-0.975,0.0965, 0,0,0,0, 0,0,0,0
546, 44,0,0.0965, 0,0,0,0, 0,0,0,0
558, 44,0.975,0.0965, 0,0,0,0, 0,0,0,0
570, 44,2.25,0.0965, 0,0,0,0, 0,0,0,0
523, 46.5,-2.25,0.0965, 0,0,0,0, 0,0,0,0
535, 46.5,-0.975,0.0965, 0,0,0,0, 0,0,1,0
547, 46.5,0,0.0965, 0,0,0,0, 0,0,0,0
559, 46.5,0.975,0.0965, 0,0,0,0, 0,0,0,0
571, 46.5,2.25,0.0965, 0,0,0,0, 0,0,0,0
524, 52,-2.25,0.0965, 0,0,0,0, 0,0,0,0
536, 52,-0.975,0.0965, 0,0,0,0, 0,0,0,0
548, 52,0,0.0965, 0,0,0,0, 1,0,1,0
560, 52,0.975,0.0965, 0,0,0,0, 0,0,0,0
572, 52,2.25,0.0965, 0,0,1,0, 0,0,0,0
525, 59.5,-2.25,0.0965, 0,0,0,0, 0,0,0,0
537, 59.5,-0.975,0.0965, 0,0,0,0, 0,0,0,0
549, 59.5,0,0.0965, 0,0,0,0, 0,0,0,0
561, 59.5,0.975,0.0965, 0,0,0,0, 0,0,0,0
573, 59.5,2.25,0.0965, 0,0,0,0, 0,0,0,0
526, 281.5,-2.25,0.0965, 1,0,2,0, 0,0,0,0
538, 281.5,-0.975,0.0965, 0,0,6,0, 0,0,0,0
550, 281.5,0,0.0965, 0,0,1,0, 1,0,0,0
562, 281.5,0.975,0.0965, 0,0,5,0, 1,0,2,0
574, 281.5,2.25,0.0965, 0,0,2,0, 0,0,0,0
601, 14.5,-2.25,0.1035, 0,0,0,0, 0,0,0,0
613, 14.5,-0.975,0.1035, 0,0,0,0, 0,0,0,0
625, 14.5,0,0.1035, 0,0,0,0, 0,0,0,0
637, 14.5,0.975,0.1035, 0,0,0,0, 0,0,0,0
