i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
711, 35,0,0.11, 7323,220, 33970,322
723, 35,0.975,0.11, 6932,235, 41449,353
735, 35,2.25,0.11, 6200,158, 40131,221
688, 38.5,-2.25,0.11, 4274,100, 21207,141
700, 38.5,-0.975,0.11, 5059,148, 25991,227
712, 38.5,0,0.11, 5339,117, 22735,196
724, 38.5,0.975,0.11, 5042,155, 24979,241
736, 38.5,2.25,0.11, 4221,98, 20384,150
689, 41.5,-2.25,0.11, 3931,84, 17304,115
701, 41.5,-0.975,0.11, 4934,105, 23393,192
713, 41.5,0,0.11, 5257,117, 20847,185
725, 41.5,0.975,0.11, 5100,103, 22521,167
737, 41.5,2.25,0.11, 4042,92, 17308,137
690, 44,-2.25,0.11, 2492,54, 10375,69
702, 44,-0.975,0.11, 3324,54, 14667,97
714, 44,0,0.11, 3571,67, 12691,97
726, 44,0.975,0.11, 3286,56, 13669,105
738, 44,2.25,0.11, 2611,54, 10469,71
691, 46.5,-2.25,0.11, 3736,58, 13994,71
703, 46.5,-0.975,0.11, 4837,87, 20085,127
715, 46.5,0,0.11, 5045,76, 17693,110
727, 46.5,0.975,0.11, 4774,67, 18799,114
739, 46.5,2.25,0.11, 3592,60, 14093,84
692, 52,-2.25,0.11, 8707,107, 30019,177
704, 52,-0.975,0.11, 12163,161, 42628,224
716, 52,0,0.11, 12731,139, 38250,190
728, 52,0.975,0.11, 12402,136, 41154,206
740, 52,2.25,0.11, 8595,129, 29523,166
693, 59.5,-2.25,0.11, 6479,42, 18949,81
705, 59.5,-0.975,0.11, 9280,63, 27179,119
717, 59.5,0,0.11, 9673,55, 24623,89
729, 59.5,0.975,0.11, 9421,67, 26318,112
741, 59.5,2.25,0.11, 6366,53, 18380,74
694, 281.5,-2.25,0.11, 29968,97, 63046,136
706, 281.5,-0.975,0.11, 51903,116, 102860,186
718, 281.5,0,0.11, 51764,116, 97924,174
730, 281.5,0.975,0.11, 52372,115, 100756,177
742, 281.5,2.25,0.11, 28779,84, 61357,135
769, 14.5,-2.25,0.1165, 30476,119, 54123,153
781, 14.5,-0.975,0.1165, 29740,390, 72138,555
793, 14.5,0,0.1165, 31263,422, 83902,623
805, 14.5,0.975,0.1165, 29808,372, 74910,514
817, 14.5,2.25,0.1165, 30244,144, 55156,195
770, 31,-2.25,0.1165, 10016,194, 45312,250
782, 31,-0.975,0.1165, 11176,305, 82808,470
794, 31,0,0.1165, 11122,271, 67785,430
806, 31,0.975,0.1165, 11155,294, 82349,473
818, 31,2.25,0.1165, 10073,203, 50041,288
771, 35,-2.25,0.1165, 8927,202, 53476,287
783, 35,-0.975,0.1165, 10413,239, 63168,417
795, 35,0,0.1165, 10990,265, 49478,407
807, 35,0.975,0.1165, 10751,263, 60550,420
819, 35,2.25,0.1165, 9124,203, 53513,281
772, 38.5,-2.25,0.1165, 6156,104, 29759,167
784, 38.5,-0.975,0.1165, 7512,165, 37470,245
796, 38.5,0,0.1165, 7947,146, 32409,218
808, 38.5,0.975,0.1165, 7775,153, 36033,240
820, 38.5,2.25,0.1165, 6224,118, 28435,188
773, 41.5,-2.25,0.1165, 5734,119, 23980,148
785, 41.5,-0.975,0.1165, 7393,110, 33432,206
797, 41.5,0,0.1165, 7710,116, 29336,177
809, 41.5,0.975,0.1165, 7783,151, 32171,211
821, 41.5,2.25,0.1165, 5764,95, 23533,139
774, 44,-2.25,0.1165, 3705,65, 14286,99
786, 44,-0.975,0.1165, 4769,65, 20025,113
798, 44,0,0.1165, 4936,61, 18038,115
810, 44,0.975,0.1165, 4882,66, 19165,99
822, 44,2.25,0.1165, 3717,69, 14010,84
775, 46.5,-2.25,0.1165, 5280,70, 19051,105
787, 46.5,-0.975,0.1165, 6993,87, 27478,132
799, 46.5,0,0.1165, 7260,89, 24662,128
811, 46.5,0.975,0.1165, 7280,104, 26906,165
823, 46.5,2.25,0.1165, 5066,63, 18674,92
776, 52,-2.25,0.1165, 12191,127, 39727,183
788, 52,-0.975,0.1165, 17308,148, 57985,249
800, 52,0,0.1165, 18000,121, 51660,204
812, 52,0.975,0.1165, 17578,144, 56475,221
824, 52,2.25,0.1165, 12011,131, 39046,203
777, 59.5,-2.25,0.1165, 8785,47, 24252,88
789, 59.5,-0.975,0.1165, 12945,93, 36376,141
801, 59.5,0,0.1165, 13327,77, 32928,118
813, 59.5,0.975,0.1165, 13248,65, 34938,104
825, 59.5,2.25,0.1165, 8432,56, 23759,88
778, 281.5,-2.25,0.1165, 36861,107, 75991,149
790, 281.5,-0.975,0.1165, 63164,89, 124363,156
802, 281.5,0,0.1165, 61668,105, 117412,155
814, 281.5,0.975,0.1165, 63841,119, 123015,156
826, 281.5,2.25,0.1165, 34782,94, 72605,148
853, 14.5,-2.25,0.1235, 39556,107, 66146,150
865, 14.5,-0.975,0.1235, 39754,308, 81241,448
877, 14.5,0,0.1235, 41205,405, 93135,611
889, 14.5,0.975,0.1235, 40535,365, 84763,513
901, 14.5,2.25,0.1235, 39042,118, 67115,148
854, 31,-2.25,0.1235, 12639,168, 45304,251
866, 31,-0.975,0.1235, 14548,299, 88612,473
878, 31,0,0.1235, 14656,289, 77554,425
890, 31,0.975,0.1235, 14713,262, 87717,473
902, 31,2.25,0.1235, 12492,196, 49435,300
855, 35,-2.25,0.1235, 11202,201, 57913,281
867, 35,-0.975,0.1235, 13793,267, 75947,414
879, 35,0,0.1235, 13886,225, 59703,380
891, 35,0.975,0.1235, 13898,242, 73156,392
903, 35,2.25,0.1235, 11270,203, 58031,296
856, 38.5,-2.25,0.1235, 7380,118, 33976,166
868, 38.5,-0.975,0.1235, 9605,166, 45242,245
880, 38.5,0,0.1235, 9998,136, 38924,206
892, 38.5,0.975,0.1235, 9760,147, 43863,279
904, 38.5,2.25,0.1235, 7619,107, 33286,155
857, 41.5,-2.25,0.1235, 7071,106, 27797,137
869, 41.5,-0.975,0.1235, 9277,134, 39724,196
881, 41.5,0,0.1235, 9361,108, 34624,181
893, 41.5,0.975,0.1235, 9464,141, 38503,204
905, 41.5,2.25,0.1235, 6890,97, 27162,159
858, 44,-2.25,0.1235, 4314,57, 16196,68
870, 44,-0.975,0.1235, 5845,66, 23838,105
882, 44,0,0.1235, 6138,62, 20783,99
894, 44,0.975,0.1235, 5938,71, 23036,105
906, 44,2.25,0.1235, 4345,56, 15928,90
859, 46.5,-2.25,0.1235, 6240,66, 21660,87
