i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
754, 281.5,3.6,0.11, 0,0, 0,0
769, 14.5,-2.25,0.1165, 0,0, 2748,8
781, 14.5,-0.975,0.1165, 0,0, 4325,17
793, 14.5,0,0.1165, 0,0, 5658,16
805, 14.5,0.975,0.1165, 1,0, 4186,15
817, 14.5,2.25,0.1165, 1,0, 2575,8
829, 14.5,3.6,0.1165, 0,0, 0,0
770, 31,-2.25,0.1165, 0,0, 947,8
782, 31,-0.975,0.1165, 0,0, 1579,9
794, 31,0,0.1165, 0,0, 2103,10
806, 31,0.975,0.1165, 0,0, 1592,11
818, 31,2.25,0.1165, 0,0, 925,11
830, 31,3.6,0.1165, 0,0, 0,0
771, 35,-2.25,0.1165, 0,0, 844,7
783, 35,-0.975,0.1165, 0,0, 1549,16
795, 35,0,0.1165, 0,0, 2038,5
807, 35,0.975,0.1165, 0,0, 1567,10
819, 35,2.25,0.1165, 0,0, 851,13
831, 35,3.6,0.1165, 0,0, 0,0
772, 38.5,-2.25,0.1165, 0,0, 621,5
784, 38.5,-0.975,0.1165, 0,0, 1156,7
796, 38.5,0,0.1165, 1,0, 1466,6
808, 38.5,0.975,0.1165, 0,0, 1128,10
820, 38.5,2.25,0.1165, 0,0, 574,6
832, 38.5,3.6,0.1165, 0,0, 0,0
773, 41.5,-2.25,0.1165, 0,0, 600,7
785, 41.5,-0.975,0.1165, 0,0, 1057,3
797, 41.5,0,0.1165, 0,0, 1488,4
809, 41.5,0.975,0.1165, 0,0, 1102,7
821, 41.5,2.25,0.1165, 0,0, 563,4
833, 41.5,3.6,0.1165, 0,0, 0,0
774, 44,-2.25,0.1165, 0,0, 393,1
786, 44,-0.975,0.1165, 0,0, 722,1
798, 44,0,0.1165, 0,0, 940,4
810, 44,0.975,0.1165, 0,0, 710,2
822, 44,2.25,0.1165, 0,0, 386,1
834, 44,3.6,0.1165, 0,0, 0,0
775, 46.5,-2.25,0.1165, 0,0, 586,2
787, 46.5,-0.975,0.1165, 0,0, 1059,3
799, 46.5,0,0.1165, 0,0, 1487,1
811, 46.5,0.975,0.1165, 0,0, 1146,1
823, 46.5,2.25,0.1165, 0,0, 518,2
835, 46.5,3.6,0.1165, 0,0, 0,0
776, 52,-2.25,0.1165, 0,0, 1405,4
788, 52,-0.975,0.1165, 0,0, 3010,4
800, 52,0,0.1165, 1,0, 3737,6
812, 52,0.975,0.1165, 0,0, 2896,6
824, 52,2.25,0.1165, 0,0, 1458,7
836, 52,3.6,0.1165, 0,0, 0,0
777, 59.5,-2.25,0.1165, 0,0, 1205,5
789, 59.5,-0.975,0.1165, 0,0, 2344,1
801, 59.5,0,0.1165, 0,0, 3237,7
813, 59.5,0.975,0.1165, 0,0, 2494,4
825, 59.5,2.25,0.1165, 0,0, 1118,4
837, 59.5,3.6,0.1165, 0,0, 0,0
778, 281.5,-2.25,0.1165, 2,0, 17520,21
790, 281.5,-0.975,0.1165, 5,0, 54342,13
802, 281.5,0,0.1165, 1,0, 63436,11
814, 281.5,0.975,0.1165, 7,0, 54108,14
826, 281.5,2.25,0.1165, 1,0, 17767,14
838, 281.5,3.6,0.1165, 0,0, 0,0
853, 14.5,-2.25,0.1235, 0,0, 3477,6
865, 14.5,-0.975,0.1235, 0,0, 5872,13
877, 14.5,0,0.1235, 1,0, 7391,16
889, 14.5,0.975,0.1235, 1,0, 5675,22
901, 14.5,2.25,0.1235, 0,0, 3448,9
913, 14.5,3.6,0.1235, 0,0, 0,0
854, 31,-2.25,0.1235, 0,0, 1205,13
866, 31,-0.975,0.1235, 0,0, 2124,10
878, 31,0,0.1235, 0,0, 2685,12
890, 31,0.975,0.1235, 0,0, 2112,17
902, 31,2.25,0.1235, 0,0, 1227,7
914, 31,3.6,0.1235, 0,0, 0,0
